episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
209, 1058.3262930512428, 1, 20.151926120044664, 966, 273073,                                             273073, 8.533599853515625, 271.1708984375
210, 1479.6389130055904, 1, 13.133309700991958, 640, 273713,                                             273713, 8.742918968200684, 272.3571472167969
211, 1672.793286114931, 1, 9.133041874039918, 429, 274142,                                             274142, 7.079535961151123, 270.3918762207031
212, 1864.4154271483421, 1, 10.14530997001566, 489, 274631,                                             274631, 7.737090587615967, 268.8533630371094
213, 1578.6043321192265, 1, 11.72741314501036, 575, 275206,                                             275206, 9.09019660949707, 269.38250732421875
214, 1907.4557203054428, 1, 9.139877263922244, 447, 275653,                                             275653, 8.784422874450684, 270.96038818359375
215, 1139.7742819488049, 1, 17.343915692996234, 805, 276458,                                             276458, 9.065682411193848, 270.68426513671875
216, 1169.4148806333542, 1, 15.160981582012028, 735, 277193,                                             277193, 8.147764205932617, 269.68585205078125
217, 1278.6147737503052, 1, 15.337914446019568, 746, 277939,                                             277939, 8.809128761291504, 266.47625732421875
218, 1501.1732096374035, 1, 13.558710096986033, 670, 278609,                                             278609, 9.285123825073242, 266.3839111328125
219, 1576.07360085845, 1, 10.726914042024873, 497, 279106,                                             279106, 9.666893005371094, 269.5361022949219
220, 2051.125027805567, 1, 7.5447603269713, 355, 279461,                                             279461, 8.535622596740723, 265.3702392578125
221, 1215.4114429056644, 1, 14.726988218026236, 691, 280152,                                             280152, 8.737289428710938, 263.65753173828125
222, 1731.990266740322, 1, 9.32740507600829, 435, 280587,                                             280587, 8.580995559692383, 265.6429138183594
223, 1352.3286154568195, 1, 12.754513649037108, 642, 281229,                                             281229, 8.69284439086914, 266.1256408691406
224, 1743.960400134325, 1, 12.927831333014183, 597, 281826,                                             281826, 8.784538269042969, 263.3913879394531
225, 1360.6299806833267, 1, 14.136692652013153, 670, 282496,                                             282496, 7.874093532562256, 262.2625732421875
226, 1673.268485069275, 1, 8.922059328993782, 430, 282926,                                             282926, 8.711095809936523, 262.7547912597656
227, 1462.3996066749096, 1, 13.14956530497875, 631, 283557,                                             283557, 8.37086009979248, 262.6629943847656
228, 1331.4551416039467, 1, 13.534056796925142, 658, 284215,                                             284215, 8.781562805175781, 262.9482421875
229, 1628.2327642440796, 1, 11.357941834023222, 549, 284764,                                             284764, 9.950140953063965, 264.07611083984375
230, 1619.6897868812084, 1, 11.931383584975265, 576, 285340,                                             285340, 8.44804573059082, 263.3515319824219
231, 1330.332012206316, 1, 16.557811156962998, 818, 286158,                                             286158, 10.256927490234375, 259.7881164550781
232, 1018.4531695246696, 1, 18.94943268795032, 903, 287061,                                             287061, 9.175080299377441, 259.0416564941406
233, 1383.2910445779562, 1, 12.934589574928395, 625, 287686,                                             287686, 9.11687183380127, 259.60858154296875
234, 1583.7011102735996, 1, 9.539728572010063, 463, 288149,                                             288149, 10.27257251739502, 257.2399597167969
235, 1531.0129709243774, 1, 10.525305995950475, 507, 288656,                                             288656, 8.686484336853027, 259.8088073730469
236, 1906.0290305912495, 1, 8.119084052974358, 395, 289051,                                             289051, 8.644450187683105, 256.22259521484375
237, 2024.3328902423382, 1, 7.949936346034519, 370, 289421,                                             289421, 7.026907444000244, 257.30560302734375
238, 1498.2641494870186, 1, 10.744197542080656, 517, 289938,                                             289938, 8.51003646850586, 259.7328796386719
239, 1504.0837330818176, 1, 12.731511384015903, 616, 290554,                                             290554, 9.279349327087402, 258.7315673828125
240, 1429.190318211913, 1, 16.960845359019004, 823, 291377,                                             291377, 10.22415828704834, 258.5997009277344
241, 1341.4761654734612, 1, 16.534222987946123, 799, 292176,                                             292176, 9.005579948425293, 258.0758056640625
242, 1551.6555877923965, 1, 9.948410657932982, 483, 292659,                                             292659, 8.988588333129883, 255.8319091796875
243, 2103.4227062165737, 1, 7.917359788902104, 386, 293045,                                             293045, 8.22181224822998, 257.79791259765625
244, 1569.12207326293, 1, 13.53729043097701, 654, 293699,                                             293699, 9.338610649108887, 255.32659912109375
245, 1433.7776798307896, 1, 14.35266497998964, 700, 294399,                                             294399, 8.986504554748535, 257.2222595214844
246, 1493.0477676987648, 1, 13.3354127490893, 644, 295043,                                             295043, 8.265250205993652, 254.49310302734375
247, 1492.6242933571339, 1, 11.54995106998831, 552, 295595,                                             295595, 8.859487533569336, 254.41519165039062
248, 1506.785423219204, 1, 11.928173017920926, 567, 296162,                                             296162, 8.435690879821777, 255.3811798095703
249, 1461.5484592020512, 1, 12.754600101034157, 612, 296774,                                             296774, 8.462383270263672, 253.48008728027344
250, 1808.4007320404053, 1, 7.719727808027528, 368, 297142,                                             297142, 8.526745796203613, 254.5614776611328
251, 1513.064066261053, 1, 12.766281564021483, 611, 297753,                                             297753, 8.24691104888916, 251.9381103515625
252, 1306.2103239893913, 1, 17.545520287938416, 825, 298578,                                             298578, 8.287054061889648, 252.4203643798828
253, 1504.2776420414448, 1, 13.155222308007069, 634, 299212,                                             299212, 8.90112018585205, 253.26947021484375
